name,category,description,compatibility,tools,mcp_servers,repo,license
knowledge-synthesizer,ai,"Use when you need to mine recurring patterns from agent logs, session transcripts, and workflow history, then write grou",fully-compatible,read_file|write_file|edit_file|glob|grep,,VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
legacy-modernizer-ai,ai,A specialist agent for planning and executing the incremental modernization of legacy systems. It refactors aging codeba,requires-mcp,read_file|write_file|edit_file|grep|glob|run_shell_command|list_dir|web_search|web_fetch|todo|mcp__context7__resolve-library-id|mcp__context7__get-library-docs|mcp__sequential-thinking__sequentialthinking,context7|sequential-thinking,lst97/claude-code-sub-agents,MIT
llm-architect,ai,"Use when designing LLM systems for production, implementing fine-tuning or RAG architectures, optimizing inference servi",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
llm-finetuning-architect,ai,Fine-tuning strategist who owns the eval gate and method/model selection. Refuses to plan training without a baselined e,fully-compatible,,,wshobson/agents,MIT
llm-finetuning-eval-engineer,ai,"Evaluation gatekeeper for fine-tuning — builds golden sets and graders, calibrates judges, baselines base models, and is",fully-compatible,,,wshobson/agents,MIT
llm-finetuning-training-engineer,ai,"Fine-tuning implementation workhorse — prepares datasets, generates Unsloth-first training scripts, launches and monitor",fully-compatible,,,wshobson/agents,MIT
llm-integration-engineer,ai,"Expert in building LLM-powered product features. Use for provider integration, tool calling, streaming, structured outpu",needs-tool-mapping,read_file|glob|write_file|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
llm-redteam,ai,"Delegates to this agent when the user asks about LLM and AI system red teaming, prompt injection (direct and indirect), ",fully-compatible,read_file|write_file|edit_file|grep|glob|web_fetch|web_search,,0xSteph/pentest-ai-agents,MIT
machine-learning-engineer,ai,"Use this agent when you need to deploy, optimize, or serve machine learning models at scale in production environments.",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents,MIT
mcp-developer,ai,"Use this agent when you need to build, debug, or optimize Model Context Protocol (MCP) servers and clients that connect ",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents,MIT
meadows,ai,Donella Meadows reasoning pattern — leverage-point hierarchy for system intervention,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
mill,ai,Mill/Ragin reasoning pattern — systematic cross-case comparison using the methods of agreement and difference,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
multi-agent-coordinator,ai,"Expert multi-agent coordinator specializing in complex workflow orchestration, inter-agent communication, and distribute",needs-tool-mapping,read_file|write_file|edit_file|glob|grep,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT;MIT
multi-agent-systems-architect,ai,"Systems architect specializing in the design, coordination, and governance of multi-agent AI pipelines — covering topolo",fully-compatible,,,Raheel2774/agency-agents,MIT
nlp-engineer,ai,"Use when building production NLP systems, implementing text processing pipelines, developing language models, or solving",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;MIT;MIT
orchestrator,ai,"Orchestrates parallel agent execution across worktrees — decomposes tasks, routes to specialists",requires-mcp,read_file|run_shell_command|glob|grep|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
producer,ai,"The Producer manages all production concerns: sprint planning, milestone tracking, risk management, scope negotiation, a",fully-compatible,read_file|glob|grep|write_file|edit_file|run_shell_command|web_search,,Donchitos/Claude-Code-Game-Studios,MIT
product-manager-ai,ai,"Use this agent when you need to make product strategy decisions, prioritize features, or define roadmap plans based on u",fully-compatible,read_file|write_file|edit_file|glob|grep|web_fetch|web_search|run_shell_command|list_dir|todo|mcp__context7__resolve-library-id|mcp__context7__get-library-docs|mcp__sequential-thinking__sequentialthinking,context7|sequential-thinking,VoltAgent/awesome-claude-code-subagents;lst97/claude-code-sub-agents,MIT;MIT
project-manager,ai,"Use this agent when you need to establish project plans, track execution progress, manage risks, control budget/schedule",fully-compatible,read_file|write_file|edit_file|glob|grep|web_fetch|web_search,,VoltAgent/awesome-claude-code-subagents,MIT
prompt-crafter,ai,Batch prompt writing agent. Delegates here when you need to write multiple distinct prompts at once — for parallel image,fully-compatible,,,wshobson/agents,MIT
prompt-engineer,ai,"Expert prompt engineer specializing in advanced prompting techniques, LLM optimization, and AI system design. Masters ch",fully-compatible,read_file|glob|write_file|edit_file|run_shell_command|grep|list_dir|mcp__context7__resolve-library-id|mcp__context7__get-library-docs|mcp__sequential-thinking__sequentialthinking,context7|sequential-thinking,wshobson/agents;Raheel2774/agency-agents;JosephHampton/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents;ankitmundada/awesome-gemini-cli-subagents;lst97/claude-code-sub-agents,MIT;MIT;NOASSERTION;MIT;MIT;MIT;MIT
prompt-regression-tester,ai,"Use when a task needs regression coverage for prompt, model, tool, or workflow changes in an AI system.",fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
python-pro-ai,ai,"Use this agent when you need to build type-safe, production-ready Python code for web APIs, system utilities, or complex",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
rag-architect,ai,"Expert in retrieval-augmented generation systems. Use for chunking, embeddings, vector search, hybrid retrieval, and ans",needs-tool-mapping,read_file|glob|write_file|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
real-estate-buyer-seller,ai,"Comprehensive real estate agent assistant for buyer representation, seller representation, listing management, offer neg",fully-compatible,,,Raheel2774/agency-agents,MIT
report-distribution-agent,ai,AI agent that automates distribution of consolidated sales reports to representatives based on territorial parameters,fully-compatible,,,Raheel2774/agency-agents,MIT
sales-data-extraction-agent,ai,"AI agent specialized in monitoring Excel files and extracting key sales metrics (MTD, YTD, Year End) for internal live r",fully-compatible,,,Raheel2774/agency-agents,MIT
scope-guard,ai,> This file is not a standalone agent. It contains the shared scope enforcement,requires-manual-conversion,,,0xSteph/pentest-ai-agents,MIT
search-specialist,ai,"Use when you need to find specific information across multiple sources using advanced search strategies, query optimizat",fully-compatible,read_file|grep|glob|web_fetch|web_search,,VoltAgent/awesome-claude-code-subagents,MIT
session-end,ai,"Use at the end of every significant work session. Finalizes the session — lessons, open issues, next steps, and any stat",fully-compatible,read_file|edit_file|run_shell_command,,wshobson/agents,MIT
sovereign-health-systems-agent,ai,Government health mandate engagement framework for AI agents operating at the intersection of national health infrastruc,fully-compatible,,,Raheel2774/agency-agents,MIT
strategy-duel-agent,ai,Conducts live strategy duels using game theory and the 36 Chinese stratagems,fully-compatible,,,Raheel2774/agency-agents,MIT
studio-producer,ai,"Senior strategic leader specializing in high-level creative and technical project orchestration, resource allocation, an",fully-compatible,,,Raheel2774/agency-agents,MIT
support-agent,ai,고객 문의에 응답할 때,fully-compatible,read_file|write_file,,sodam-ai/SoDam-Agent,Apache-2.0
taleb,ai,Nassim Nicholas Taleb reasoning pattern — fragile/robust/antifragile classification,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
team-lead,ai,"Team orchestrator that decomposes work into parallel tasks with file ownership boundaries, manages team lifecycle, and s",needs-tool-mapping,read_file|glob|grep|run_shell_command|todo,,wshobson/agents,MIT
terragrunt-expert,ai,"Expert Terragrunt specialist mastering infrastructure orchestration, DRY configurations, and multi-environment deploymen",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
traffic-analyzer,ai,"Delegates to this agent when the user wants offline analysis of captured network traffic — dissecting pcaps, extracting ",fully-compatible,read_file|write_file|edit_file|grep|glob|web_fetch|web_search,,0xSteph/pentest-ai-agents,MIT
visual-asset-generator,ai,"Use this agent when you need to generate production-ready visual assets for a project — app icons, favicons, OG images, ",requires-mcp,read_file|write_file|run_shell_command|mcp__prompt-to-asset,prompt-to-asset,VoltAgent/awesome-claude-code-subagents,MIT
websocket-engineer,ai,"Use this agent when implementing real-time bidirectional communication features using WebSockets, Socket.IO, or similar ",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;MIT
aeo-foundations-architect,architecture,"Expert in AI Engine Optimization infrastructure — implements llms.txt, AI-aware robots.txt, token-budgeted content, stru",fully-compatible,,,Raheel2774/agency-agents,MIT
architect,architecture,"Proactively analyze structural changes, decomposition decisions",requires-mcp,read_file|run_shell_command|glob|grep|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents;wshobson/agents,MIT;MIT
architect-reviewer,architecture,"Proactively reviews code for architectural consistency, adherence to patterns, and maintainability. Use after any struct",requires-mcp,read_file|grep|glob|list_dir|web_fetch|web_search|mcp__sequential-thinking__sequentialthinking|mcp__context7__resolve-library-id|mcp__context7__get-library-docs|write_file|edit_file|run_shell_command,sequential-thinking|context7,lst97/claude-code-sub-agents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;MIT;MIT;MIT
audio-director,architecture,"The Audio Director owns the sonic identity of the game: music direction, sound design philosophy, audio implementation s",fully-compatible,read_file|glob|grep|write_file|edit_file|web_search,,Donchitos/Claude-Code-Game-Studios,MIT
automation-governance-architect,architecture,"Governance-first architect for business automations (n8n-first) who audits value, risk, and maintainability before imple",fully-compatible,,,Raheel2774/agency-agents,MIT
backstage-specialist,architecture,"Use when a task needs Backstage architecture, catalog, plugin, template, or adoption guidance for an internal developer ",fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
bim-gis-specialist,architecture,Integration specialist who bridges Building Information Modeling and Geographic Information Systems — Revit/IFC data con,fully-compatible,,,Raheel2774/agency-agents,MIT
blockchain-developer-architecture,architecture,"Expert blockchain developer specializing in smart contract development, DApp architecture, and DeFi protocols. Masters S",needs-tool-mapping,read_file|write_file|run_shell_command,,ankitmundada/awesome-gemini-cli-subagents,MIT
c4-code,architecture,Expert C4 Code-level documentation specialist. Analyzes code directories to create comprehensive C4 code-level documenta,fully-compatible,,,wshobson/agents,MIT
c4-component,architecture,Expert C4 Component-level documentation specialist. Synthesizes C4 Code-level documentation into Component-level archite,fully-compatible,,,wshobson/agents,MIT
c4-container,architecture,Expert C4 Container-level documentation specialist. Synthesizes Component-level documentation into Container-level archi,fully-compatible,,,wshobson/agents,MIT
c4-context,architecture,"Expert C4 Context-level documentation specialist. Creates high-level system context diagrams, documents personas, user j",fully-compatible,,,wshobson/agents,MIT
